year,state,state_abbr,growth_rank,in_migration_pct,out_migration_pct,leading_cities,net_migration_pct
2019,New Hampshire,NH,31.0,50.4,49.6,None,0.7999999999999972
2019,New Jersey,NJ,44.0,49.6,50.4,None,-0.7999999999999972
2019,New Mexico,NM,36.0,49.7,50.3,None,-0.5999999999999943
2019,New York,NY,39.0,49.9,50.1,#Manhatttan,-0.20000000000000284
2019,North Carolina,NC,3.0,50.3,49.7,"#1 Raleigh-Durham, #24 Wilmington",0.5999999999999943
2019,North Dakota,ND,36.0,49.1,50.9,None,-1.7999999999999972
2019,Ohio,OH,7.0,50.1,49.9,None,0.20000000000000284
2019,Oklahoma,OK,14.0,50.2,49.8,None,0.4000000000000057
2019,Oregon,OR,29.0,50.0,50.0,None,0.0
2019,Pennsylvania,PA,46.0,49.6,50.4,#10 Harrisburg,-0.7999999999999972
2019,Rhode Island,RI,35.0,49.5,50.5,None,-1.0
2019,South Carolina,SC,4.0,50.5,49.5,None,1.0
2019,South Dakota,SD,27.0,50.1,49.9,None,0.20000000000000284
2019,Tennessee,TN,12.0,50.1,49.9,#21 Murfreesboro,0.20000000000000284
2019,Texas,TX,2.0,50.4,49.6,"#4 Round Rock-Pflugerville, #11 New Braunfels, #14 Spring-The Woodlands, #17 McKinney",0.7999999999999972
2019,Utah,UT,4.0,50.8,49.2,#15 St. George,1.5999999999999943
2019,Vermont,VT,10.0,51.7,48.3,None,3.4000000000000057
2019,Virginia,VA,39.0,49.9,50.1,None,-0.20000000000000284
2019,Washington,WA,6.0,50.3,49.7,None,0.5999999999999943
2019,West Virginia,WV,22.0,50.1,49.9,None,0.20000000000000284
2019,Wisconsin,WI,41.0,49.7,50.3,None,-0.5999999999999943
2019,Wyoming,WY,27.0,50.3,49.7,None,0.5999999999999943
2020,Alabama,AL,22.0,50.2,49.8,"#4 Auburn-Opelika, #15 Huntsville",0.4000000000000057
2020,Alaska,AK,34.0,50.0,50.0,None,0.0
2020,Arizona,AZ,5.0,50.3,49.7,#8 Surprise,0.5999999999999943
2020,Arkansas,AR,11.0,51.0,49.0,None,2.0
2020,California,CA,50.0,49.4,50.6,"#11 Sacramento-Roseville, #16 Redding",-1.2000000000000028
2020,Colorado,CO,6.0,50.7,49.3,"#19 Colorado Springs, #25 Fort Collins",1.4000000000000057
2020,Connecticut,CT,43.0,49.7,50.3,None,-0.5999999999999943
2020,Delaware,DE,27.0,50.9,49.1,None,1.7999999999999972
2020,Florida,FL,3.0,50.2,49.8,"#1 North Port, #2 Kissimmee, #3 Port St. Lucie, #6 Ocala, #23 Melbourne",0.4000000000000057
2020,Georgia,GA,10.0,50.2,49.8,"#18 Athens, #22 Augusta",0.4000000000000057
2020,Hawaii,HI,,,,Recent Migration Trends,
2020,Idaho,ID,30.0,50.3,49.7,None,0.5999999999999943
2020,Illinois,IL,49.0,49.1,50.9,None,-1.7999999999999972
2020,Indiana,IN,12.0,50.5,49.5,#21 Fort Wayne,1.0
2020,Iowa,IA,24.0,50.6,49.4,None,1.2000000000000028
2020,Kansas,KS,21.0,50.4,49.6,None,0.7999999999999972
2020,Kentucky,KY,18.0,50.4,49.6,None,0.7999999999999972
2020,Louisiana,LA,44.0,49.6,50.4,None,-0.7999999999999972
2020,Maine,ME,29.0,50.7,49.3,None,1.4000000000000057
2020,Maryland,MD,46.0,49.5,50.5,None,-1.0
2020,Massachusetts,MA,47.0,49.2,50.8,None,-1.5999999999999943
2020,Michigan,MI,40.0,49.9,50.1,None,-0.20000000000000284
2020,Minnesota,MN,20.0,50.3,49.7,None,0.5999999999999943
2020,Mississippi,MS,21.0,50.2,49.8,None,0.4000000000000057
2020,Missouri,MO,7.0,50.7,49.3,None,1.4000000000000057
2020,Montana,MT,19.0,51.2,48.8,None,2.4000000000000057
2020,Nebraska,NE,32.0,50.0,50.0,None,0.0
2020,Nevada,NV,8.0,50.3,49.7,None,0.5999999999999943
2020,New Hampshire,NH,23.0,50.8,49.2,None,1.5999999999999943
2020,New Jersey,NJ,48.0,49.2,50.8,None,-1.5999999999999943
2020,New Mexico,NM,39.0,49.7,50.3,None,-0.5999999999999943
2020,New York,NY,42.0,49.9,50.1,None,-0.20000000000000284
2020,North Carolina,NC,9.0,50.2,49.9,#14 Asheville,0.30000000000000426
2020,North Dakota,ND,37.0,49.5,50.5,None,-1.0
2020,Ohio,OH,4.0,50.4,49.6,None,0.7999999999999972
2020,Oklahoma,OK,14.0,50.6,49.4,#20 Edmond,1.2000000000000028
2020,Oregon,OR,45.0,49.6,50.4,None,-0.7999999999999972
2020,Pennsylvania,PA,41.0,49.9,50.1,None,-0.20000000000000284
2020,Rhode Island,RI,35.0,50.0,50.0,None,0.0
2020,South Carolina,SC,15.0,50.4,49.6,#17 Charleston,0.7999999999999972
2020,South Dakota,SD,25.0,51.8,48.2,None,3.5999999999999943
2020,Tennessee,TN,1.0,50.6,49.4,"#7 Knoxville, #12 Johnson City-Kingsport",1.2000000000000028
2020,Texas,TX,2.0,50.2,49.8,"#10 Tyler, #24 Conroe",0.4000000000000057
2020,Utah,UT,117.0,50.4,49.6,#9 St. George,0.7999999999999972
2020,Vermont,VT,26.0,51.7,48.3,None,3.4000000000000057
2020,Virginia,VA,28.0,50.1,49.9,None,0.20000000000000284
2020,Washington,WA,36.0,49.9,50.1,None,-0.20000000000000284
2020,West Virginia,WV,16.0,51.5,48.5,None,3.0
2020,Wisconsin,WI,13.0,50.6,49.4,"#5 Madison, #14 Milwaukee",1.2000000000000028
2020,Wyoming,WY,33.0,50.1,49.9,None,0.20000000000000284
2021,Alabama,AL,46.0,49.6,50.4,#23 Auburn-Opelika,-0.7999999999999972
2021,Alaska,AK,16.0,51.4,48.6,None,2.799999999999997
2021,Arizona,AZ,5.0,50.4,49.6,#18 Surprise,0.7999999999999972
2021,Arkansas,AR,41.0,49.6,50.4,None,-0.7999999999999972
2021,California,CA,50.0,49.6,50.4,"#8 Sacramento-Roseville, #12 San Diego",-0.7999999999999972
2021,Colorado,CO,7.0,50.5,49.5,#21 Denver,1.0
2021,Connecticut,CT,18.0,50.2,49.8,None,0.4000000000000057
2021,Delaware,DE,30.0,49.8,50.2,None,-0.4000000000000057
2021,Florida,FL,2.0,50.7,49.3,"#1 Kissimmee-St. Cloud, #3 Palm Bay-Melbourne, #4 North Port, #6 Fort Myers-North Fort Myers, #9 Clermont, #10 Sarasota-Bradenton, #11 Daytona Beach, #13 Port St. Lucie, #19 Brandon-Riverview, #24 Ocala",1.4000000000000057
2021,Georgia,GA,23.0,50.0,50.0,None,0.0
2021,Hawaii,HI,,,,Recent Migration Trends,
2021,Idaho,ID,9.0,50.5,49.5,None,1.0
2021,Illinois,IL,49.0,49.2,50.8,None,-1.5999999999999943
2021,Indiana,IN,6.0,50.6,49.4,None,1.2000000000000028
2021,Iowa,IA,27.0,49.9,50.1,None,-0.20000000000000284
2021,Kansas,KS,40.0,49.6,50.4,None,-0.7999999999999972
2021,Kentucky,KY,38.0,49.7,50.3,None,-0.5999999999999943
2021,Louisiana,LA,43.0,49.6,50.4,None,-0.7999999999999972
2021,Maine,ME,8.0,50.9,49.1,None,1.7999999999999972
2021,Maryland,MD,34.0,49.8,50.2,None,-0.4000000000000057
2021,Massachusetts,MA,47.0,49.3,50.7,None,-1.4000000000000057
2021,Michigan,MI,42.0,49.8,50.2,None,-0.4000000000000057
2021,Minnesota,MN,17.0,50.3,49.7,None,0.5999999999999943
2021,Mississippi,MS,37.0,49.6,50.4,None,-0.7999999999999972
2021,Missouri,MO,39.0,49.8,50.2,None,-0.4000000000000057
2021,Montana,MT,22.0,50.1,49.9,None,0.20000000000000284
2021,Nebraska,NE,20.0,50.1,49.9,None,0.20000000000000284
2021,Nevada,NV,29.0,49.9,50.1,None,-0.20000000000000284
2021,New Hampshire,NH,25.0,50.0,50.0,None,0.0
2021,New Jersey,NJ,36.0,49.8,50.2,None,-0.4000000000000057
2021,New Mexico,NM,10.0,50.5,49.5,None,1.0
2021,New York,NY,45.0,49.8,50.2,None,-0.4000000000000057
2021,North Carolina,NC,19.0,50.1,49.9,"#2 Raleigh-Durham, #20 Wilmington",0.20000000000000284
2021,North Dakota,ND,33.0,48.8,51.2,None,-2.4000000000000057
2021,Ohio,OH,24.0,50.0,50.0,None,0.0
2021,Oklahoma,OK,44.0,59.6,50.4,None,9.200000000000003
2021,Oregon,OR,14.0,50.3,49.7,None,0.5999999999999943
2021,Pennsylvania,PA,48.0,49.5,50.5,None,-1.0
2021,Rhode Island,RI,32.0,49.3,50.7,None,-1.4000000000000057
2021,South Carolina,SC,4.0,50.5,49.5,#17 Myrtle Beach,1.0
2021,South Dakota,SD,11.0,52.5,47.5,None,5.0
2021,Tennessee,TN,3.0,50.4,49.6,None,0.7999999999999972
2021,Texas,TX,1.0,50.2,49.8,"#7 College Station-Bryan, #15 Grapevine, #16 Austin, #22 Richardson, #25 Carrollton",0.4000000000000057
2021,Utah,UT,28.0,49.9,50.1,None,-0.20000000000000284
2021,Vermont,VT,12.0,52.6,47.4,None,5.200000000000003
2021,Virginia,VA,31.0,49.9,50.1,None,-0.20000000000000284
2021,Washington,WA,15.0,50.2,49.8,None,0.4000000000000057
2021,West Virginia,WV,26.0,49.8,50.2,None,-0.4000000000000057
2021,Wisconsin,WI,13.0,50.3,49.7,"#5 Madison, #14 Milwaukee",0.5999999999999943
2021,Wyoming,WY,21.0,50.1,49.9,None,0.20000000000000284
2022,Alabama,AL,20.0,50.3,49.7,"#5 Auburn-Opelika, #9 Huntsville",0.5999999999999943
2022,Alaska,AK,41.0,48.6,51.4,None,-2.799999999999997
2022,Arizona,AZ,7.0,50.3,49.7,#8 Surprise,0.5999999999999943
2022,Arkansas,AR,43.0,49.5,50.5,None,-1.0
2022,California,CA,50.0,49.6,50.4,#2 Sacramento-Roseville,-0.7999999999999972
2022,Colorado,CO,11.0,50.3,49.7,#16 Fort Collins,0.5999999999999943
2022,Connecticut,CT,28.0,50.1,49.9,None,0.20000000000000284
2022,Delaware,DE,27.0,50.1,49.9,None,0.20000000000000284
2022,Florida,FL,2.0,50.7,49.3,"#1 Ocala, #4 Palm Bay-Melbourne, #6 North Port, #21 Lakeland",1.4000000000000057
2022,Georgia,GA,8.0,50.2,49.8,"#12 Athens, #25 Sandy Springs",0.4000000000000057
2022,Hawaii,HI,,,,Recent Migration Trends,
2022,Idaho,ID,10.0,50.4,49.6,None,0.7999999999999972
2022,Illinois,IL,49.0,49.3,50.7,None,-1.4000000000000057
2022,Indiana,IN,14.0,50.4,49.6,#23 Noblesville,0.7999999999999972
2022,Iowa,IA,21.0,50.4,49.6,None,0.7999999999999972
2022,Kansas,KS,39.0,49.5,50.5,None,-1.0
2022,Kentucky,KY,26.0,50.1,49.9,None,0.20000000000000284
2022,Louisiana,LA,35.0,50.0,50.0,None,0.0
2022,Maine,ME,29.0,50.1,49.9,None,0.20000000000000284
2022,Maryland,MD,44.0,49.6,50.4,None,-0.7999999999999972
2022,Massachusetts,MA,47.0,49.3,50.7,None,-1.4000000000000057
2022,Michigan,MI,48.0,49.6,50.4,None,-0.7999999999999972
2022,Minnesota,MN,17.0,50.3,49.7,None,0.5999999999999943
2022,Mississippi,MS,34.0,50.0,50.0,None,0.0
2022,Missouri,MO,15.0,50.3,49.7,#11 St. Louis,0.5999999999999943
2022,Montana,MT,18.0,50.2,49.8,None,0.4000000000000057
2022,Nebraska,NE,32.0,50.0,50.0,None,0.0
2022,Nevada,NV,13.0,50.2,49.8,"#17 Henderson, #18 Reno",0.4000000000000057
2022,New Hampshire,NH,38.0,49.6,50.4,None,-0.7999999999999972
2022,New Jersey,NJ,45.0,49.6,50.4,None,-0.7999999999999972
2022,New Mexico,NM,19.0,50.3,49.7,None,0.5999999999999943
2022,New York,NY,43.0,49.7,50.3,None,-0.5999999999999943
2022,North Carolina,NC,4.0,50.4,49.6,#14 Raleigh-Durham,0.7999999999999972
2022,North Dakota,ND,32.0,49.0,51.0,None,-2.0
2022,Ohio,OH,9.0,50.2,49.8,#20 West Chester,0.4000000000000057
2022,Oklahoma,OK,42.0,49.7,50.3,None,-0.5999999999999943
2022,Oregon,OR,22.0,50.1,49.9,None,0.20000000000000284
2022,Pennsylvania,PA,24.0,50.1,49.9,None,0.20000000000000284
2022,Rhode Island,RI,40.0,48.8,51.2,None,-2.4000000000000057
2022,South Carolina,SC,3.0,50.9,49.1,"#7 Myrtle Beach-North Myrtle Beach, #10 Charleston-North Charleston",1.7999999999999972
2022,South Dakota,SD,31.0,50.1,49.9,None,0.20000000000000284
2022,Tennessee,TN,6.0,50.3,49.7,#22 Nashbille,0.5999999999999943
2022,Texas,TX,1.0,50.3,49.7,"#13 Missouri City, #15 Richardson, #19 Conroe",0.5999999999999943
2022,Utah,UT,12.0,50.3,49.7,None,0.5999999999999943
2022,Vermont,VT,30.0,50.1,49.9,None,0.20000000000000284
2022,Virginia,VA,5.0,50.5,49.5,#24 Henrico,1.0
2022,Washington,WA,23.0,50.1,49.9,None,0.20000000000000284
2022,West Virginia,WV,25.0,50.1,49.9,None,0.20000000000000284
2022,Wisconsin,WI,16.0,50.3,49.7,#Madison,0.5999999999999943
2022,Wyoming,WY,33.0,50.0,50.0,None,0.0
2023,Alabama,AL,22.0,50.1,49.9,"#8 Huntsville, #19 Auburn-Opelika",0.20000000000000284
2023,Alaska,AK,34.0,49.3,50.7,None,-1.4000000000000057
2023,Arizona,AZ,8.0,50.3,49.7,"#18 Surprise, #23 Queen Creek",0.5999999999999943
2023,Arkansas,AR,17.0,50.1,49.9,None,0.20000000000000284
2023,California,CA,50.0,49.2,50.8,None,-1.5999999999999943
2023,Colorado,CO,9.0,50.2,49.8,None,0.4000000000000057
2023,Connecticut,CT,42.0,48.7,51.3,None,-2.5999999999999943
2023,Delaware,DE,15.0,51.1,48.9,None,2.200000000000003
2023,Florida,FL,2.0,50.6,49.4,"#1 Palm Bay-Melbourne, #2 Ocala, #4 Sarasota-Bradenton, #11 Kissimmee-St. Cloud, #12 Panama City-Panama City Beach, #13 North Port, #20 Lakeland",1.2000000000000028
2023,Georgia,GA,18.0,50.1,49.9,None,0.20000000000000284
2023,Hawaii,HI,25.0,54.0,46.0,None,8.0
2023,Idaho,ID,6.0,51.3,48.7,": #14 Boise, #25 Nampa",2.5999999999999943
2023,Illinois,IL,48.0,49.0,51.0,None,-2.0
2023,Indiana,IN,27.0,50.0,50.0,None,0.0
2023,Iowa,IA,24.0,50.1,49.9,None,0.20000000000000284
2023,Kansas,KS,33.0,49.9,50.1,None,-0.20000000000000284
2023,Kentucky,KY,29.0,49.9,50.1,None,-0.20000000000000284
2023,Louisiana,LA,45.0,49.2,50.8,None,-1.5999999999999943
2023,Maine,ME,31.0,49.9,50.1,None,-0.20000000000000284
2023,Maryland,MD,44.0,49.3,50.7,None,-1.4000000000000057
2023,Massachusetts,MA,49.0,48.0,52.0,None,-4.0
2023,Michigan,MI,46.0,49.5,50.5,None,-1.0
2023,Minnesota,MN,20.0,50.1,49.9,None,0.20000000000000284
2023,Mississippi,MS,39.0,49.4,50.6,None,-1.2000000000000028
2023,Missouri,MO,28.0,49.9,50.1,None,-0.20000000000000284
2023,Montana,MT,21.0,50.1,49.9,None,0.20000000000000284
2023,Nebraska,NE,35.0,49.7,50.3,None,-0.5999999999999943
2023,Nevada,NV,11.0,50.3,49.7,#24 Henderson,0.5999999999999943
2023,New Hampshire,NH,40.0,49.0,51.0,None,-2.0
2023,New Jersey,NJ,47.0,48.4,51.6,None,-3.200000000000003
2023,New Mexico,NM,16.0,50.3,49.7,None,0.5999999999999943
2023,New York,NY,43.0,49.7,50.3,None,-0.5999999999999943
2023,North Carolina,NC,3.0,51.0,49.0,"#7 Charlotte, #15 Wake Forest, #22 Wilmington",2.0
2023,North Dakota,ND,32.0,49.8,50.2,None,-0.4000000000000057
2023,Ohio,OH,23.0,50.1,49.9,None,0.20000000000000284
2023,Oklahoma,OK,41.0,49.7,50.3,None,-0.5999999999999943
2023,Oregon,OR,37.0,49.8,50.2,None,-0.4000000000000057
2023,Pennsylvania,PA,38.0,49.7,50.3,None,-0.5999999999999943
2023,Rhode Island,RI,36.0,49.1,50.9,None,-1.7999999999999972
2023,South Carolina,SC,4.0,51.4,48.6,"3 Charleston-North Charleston, #10 Myrtle Beach-North Myrtle Beach",2.799999999999997
2023,South Dakota,SD,19.0,50.7,49.3,None,1.4000000000000057
2023,Tennessee,TN,5.0,50.5,49.5,"#17 Knoxville, #21 Murfreesboro",1.0
2023,Texas,TX,1.0,50.4,49.6,"#5 Austin, #6 College Station-Bryan, #9 Dallas, #16",0.7999999999999972
2023,Utah,UT,13.0,50.2,49.8,None,0.4000000000000057
2023,Vermont,VT,12.0,52.6,47.4,None,5.200000000000003
2023,Virginia,VA,10.0,50.1,49.9,None,0.20000000000000284
2023,Washington,WA,7.0,50.3,49.7,None,0.5999999999999943
2023,West Virginia,WV,30.0,49.9,50.1,None,-0.20000000000000284
2023,Wisconsin,WI,26.0,50.0,50.0,None,0.0
2023,Wyoming,WY,14.0,51.0,49.0,None,2.0
